NAME,ID,CODE
ASSISTANT MANAGER - ADMIN & GOVT. RELATIONS,93,
MANAGER-ADMIN&GOVT. RELATIONS,94,MANREL
SECURITY GUARD - MALE,95,SGM
SECURITY SUPERVISOR,96,SECSUP
CCTV OPERATOR,97,CCTOPE
LEAD SECURITY GUARDS,98,LESEGU
ASSISTANT CAMP BOSS,99,ASCABO
SENIOR ENGINEER-MEP,100,SENENG
SENIOR CLEANING COORDINATOR,101,SECLCO
SR. SERVICE DELIVERY EXECUTIVE,102,SSDE
RECEPTIONIST - OPERATIONS,103,REOP
CAMP BOSS,104,CAMBOS
SECURITY GUARD - FEMALE,105,SGF
LIFE GUARD - FEMALE,106,LGF
CHILLER TECHNICIAN,107,CHITEC
ASSISTANT SECURITY MANAGER,108,ASSEMA
BMS CUM TECHNICIAN,109,BMCUTE
SR. CIVIL ENGINEER,110,SRCIEN
BIDDING SPECIALIST,111,BIDSPE
TEAM LEADER CUM DRIVER,112,TLCD
ASST. FACILITIES MANAGER,113,ASFAMA
SECURITY SITE SUPERVISOR,114,SESISU
SERVICE DELIVERY EXECUTIVE,115,SEDEEX
ADMINISTRATIVE ASSISTANT,116,ADMASS
ACCOMMODATION COORDINATOR,117,ACCCOO
JUNIOR ENGINEER - MEP,118,JEM
HEAVY DUTY DRIVER,119,HEDUDR
SR. FACILITIES MANAGER,120,SRFAMA
HVAC CUM CHILLER TECHNICIAN,121,HCCT
ENGINEER - MEP,122,ENME
GLASS DOOR INSTALLATION WORKER,123,GDIW
SENIOR WALL PAINTER,124,SEWAPA
HR COORDINATOR,125,HRCOO
COMMERCIAL COORDINATOR,126,COMCOO
ASSISTANT BIDDING MANAGER,127,ASBIMA
SERVICES MANAGER,128,SERMAN
JUNIOR FACILITIES ENGINEER,129,JUFAEN
GENERAL MANAGER,130,GENMAN
MOTOR WINDING TECHNICIAN,131,MOWITE
SENIOR FACILITIES MANAGER,132,SEFAMA
CASHIER CUM ACCOUNTS ASSISTANT,133,CCAA
MEP CO-ORDINATOR,134,MEPCO
COORDINATOR - QHSE,135,COQH
SENIOR MANAGER - CLEANING,136,SMC
WATCHMAN,137,WATCHM
JANITOR,138,JANITO
KITCHEN TECHNICIAN,139,KITTEC
GENERATOR SUPERVISOR,140,GENSUP
INSULATOR,141,INSULA
EXECUTIVE SECRETARY,142,EXESEC
ASSISTANT MANAGER - FINANCE,143,AMF
A/C TECHNICIAN,144,ACTEC
PROJECT ADMINISTRATOR,145,PROADM
SUPERVISOR - LANDSCAPE,146,SULA
CALL CENTER OPERATOR,147,CACEOP
SOFT SERVICES MANAGER,148,SOSEMA
OPERATIONS MANAGER,149,OPEMAN
LEAD HAND CUM DRIVER,150,LHCD
TECHNICAL TRAINER,151,TECTRA
HOUSEKEEPING EXECUTIVE,152,HOUEXE
HVAC TECHNICIAN,153,HVATEC
SENIOR MANAGER - FINANCE & ACCOUNTS,154,SMFA
SR. COMMERCIAL & BIDDING MANAGER,155,SCBM
SR. ELECTRICAL ENGINEER,156,SRELEN
HEAD - HOME SERVICES,157,HHS
CLEANER,158,CLEANE
PAINTER,159,PAINTE
SENIOR ENGINEER - LANDSCAPE,160,SEL
ADMINISTRATOR,161,ADMINI
HELP DESK - FMS,162,HDF
TECHNICAL CLERK,163,TECCLE
LANDSCAPE SUPERVISOR,164,LANSUP
CIVIL FOREMAN,165,CIVFOR
PROJECT ENGINEER,166,PROENG
SECURITY GUARD,167,SECGUA
QHSE OFFICER,168,QHSOFF
TECHNICAL ASSISTANT,169,TECASS
TRAINING EXECUTIVE,170,TRAEXE
RECEPTIONIST,171,RECEPT
CIVIL SUPERVISOR,172,CIVSUP
LIGHT DRIVER,173,LIGDRI
SR.FACILITIES ENGINEER,174,SRENG
SR MANAGER- PROCUREMENT,175,SRMAPR
CAFM SPECIALIST,176,CAFSPE
SR. CALL CENTER COORDINATOR,177,SCCC
ASSISTANT HR MANAGER,178,ASHRMA
IT ENGINEER,179,ITENG
RECEPTIONIST (SECURITY SVCS),180,RESECURITY SVCS
HELP DESK OPERATOR,181,HEDEOP
LANDSCAPE MANAGER,182,LANMAN
JR. MEP SUPERVISOR,183,JRMESU
SR. CAMP BOSS,184,SRCABO
SR.FACILITIES OFFICER,185,SROFF
CIVIL FORMAN,186,CIVFOR
DUCTMAN,187,DUCTMA
ASSISTANT PLUMBER,188,ASSPLU
CIVIL- MULTI TECHNICIAN,189,CIMUTE
SERVICE ADMINISTRATOR,190,SERADM
CIVIL ENGINEER,191,CIVENG
JR. QHSE OFFICER,192,JRQHOF
LEGAL ASSISTANT,193,LEGASS
HR & TALENT ACQUISITION COORDINATOR,194,HTAC
FACILITIES MANAGER,195,FACMAN
HOUSE MAID,196,HOUMAI
DIRECTOR - HARD SERVICES,197,DHS
PURCHASE OFFICER,198,PUROFF
SENIOR PROJECT COORDINATOR,199,SEPRCO
PROCUREMENT ENGINEER,200,PROENG
ASSISTANT A/C TECHNICIAN,201,ASATE
SECURITY COORDINATOR,202,SECCOO
SR. SUPERVISOR,203,SRSUP
CIVIL TECHNICIAN,204,CIVTEC
COORDINATOR,205,COORDI
IRRIGATION ENGINEER,206,IRRENG
SR. QHSE OFFICER,207,SRQHOF
ALUMINIUM FITTER,208,ALUFIT
SENIOR CARPENTER,209,SENCAR
MOTOR BIKE MESSENGER,210,MOBIME
ADMIN ASSISTANT,211,ADMASS
IRRIGATION SUPERVISOR,212,IRRSUP
CUSTOMER SERVICE MANAGER,213,CUSEMA
CAFM COORDINATOR,214,CAFCOO
ERP FUNCTIONAL SUPPORT ANALYST,215,EFSA
SENIOR ENGINEER - IT OPERATIONS,216,SEIO
SENIOR-IT ADMINISTRATOR,217,SENADM
PUBLIC REL. OFFICER,218,PUREOF
SR. CHILLER TECHNICIAN,219,SRCHTE
ROPE ACCESS LEVEL3,220,ROACLE
HR ASSISTANT,221,HRASS
SENIOR OFFICER - COMPENSATION & BENEFIT,222,SOCB
PIPE FITTER,223,PIPFIT
JANITOR-MALE,224,JANITO
WATER TANK - HELPER,225,WTH
BI DEVELOPER / DATA ANALYST,226,BDDA
SECURITY OPERATION MANAGER,227,SEOPMA
MEP TRAINEE,228,MEPTRA
BUSINESS DEVELOPMENT MANAGER,229,BUDEMA
